feature,importance
Qual_SF,0.25357955465455334
TotalSF,0.1070260223956161
OverallQual,0.037978004100468796
AgeRemod,0.02719301918525181
Neighborhood,0.018926250863160975
MSZoning,0.014225079408086727
TotalBsmtSF,0.010317515308701408
GarageCars,0.00989910042476746
GarageArea,0.009763405605584852
AgeMaison,0.006593283527447924
SaleCondition,0.005159045752190994
GrLivArea,0.003764662449476508
YearBuilt,0.003311945587095977
AgeGarage,0.0026251081015127298
GarageType,0.002187794484871697
GarageFinish,0.0017956648116167818
Foundation,0.00022224464196307636
FullBath,-0.0015293089999495746
